song,artist,entry_position,best_position,rank_improvement,days_on_playlist
REAL GANGSTA LOVE,Trueno,49,1,48,164
All I Want for Christmas Is You,Mariah Carey,49,1,48,31
Si No Estás,iñigo quintero,48,1,47,196
MODELITO,Mora,50,4,46,282
PELIGROSA,FloyyMenor,49,3,46,120
No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,50,4,46,112
Last Christmas - Single Version,Wham!,49,4,45,5
Holanda,Jhayco,47,3,44,221
Potra Salvaje - Hard Remix,Isabel Aaiún & Fernando Moreno,47,3,44,119
STAR,JC Reyes,50,7,43,39
Se Pone Las Nike,Cano,49,6,43,22
Lollipop,Darell,43,1,42,108
Mamichula - con Nicki Nicole,Trueno,49,7,42,47
LALA,Myke Towers,42,1,41,453
FRIKI,Gonzy,49,8,41,201
COCO LOCO,Maluma,50,9,41,149
Eva Longoria,Ozuna,49,8,41,105
APAGA EL CEL,FloyyMenor & Lewis Somes,48,7,41,76
Celine (with Kidd Keo),Ghost Killer Track & Kidd Keo,50,9,41,56
Yo sé,Yan Block & TORRRES,49,8,41,27
Alegría,Tiago PZK,48,8,40,8
Rockin' Around The Christmas Tree,Brenda Lee,47,7,40,4
El Patio,Pepe y Vizio & Delaossa & KIDDO,47,8,39,187
TU$$I (with Dei V),YOVNGCHIMI,50,11,39,169
Gata Only,FloyyMenor & Cris Mj,41,2,39,167
lady madrizZz,céro,47,8,39,120
La Baby,Brytiago,42,3,39,30
Columbia,Quevedo,39,1,38,483
Ohnana,Kapo,40,2,38,147
Q U E V A S H A C E R H O Y ?,Omar Courtz,39,1,38,64
X'CLUSIVO,Gonzy,41,3,38,38
El Mambo,Kiko Rivera,39,2,37,149
SE ME OLVIDA,Maisak & Feid,48,11,37,85
VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,39,3,36,517
Diabólica,Cris Mj,50,14,36,160
Luna llena,Beny Jr,40,4,36,120
M.A.I,Milo j,40,4,36,104
TAMBIÉN,Myke Towers,41,5,36,96
Thalía,Cyril Kamer,45,9,36,82
Buscando Money,TWENTY SIX & Tayson Kryss,40,4,36,75
COSAS QUE NO TE DIJE,Saiko,42,7,35,255
A 300,JC Reyes & Pedro Calderon,50,15,35,153
Trending Remix (with Myke Towers),Dei V,45,10,35,140
Gitana (feat. Bryartz),Pablo Chill-E,50,15,35,46
AMARGURA,KAROL G,50,16,34,524
No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,47,13,34,149
NO PIENSO LLAMAR,Soge Culebra,41,7,34,140
Potra Salvaje,Isabel Aaiún,48,14,34,53
No Has Cambiado,Baby Rasta & Noriel & Hades66,45,11,34,46
SORRY 4 THAT MUCH,Feid,43,9,34,39
Martini,Dei V,40,7,33,206
Soltera,Shakira,38,5,33,61
Santa,Rvssian & Rauw Alejandro & Ayra Starr,34,1,33,36
DIABLA,Los Diozes,50,17,33,25
CRUSH,Sky Rompiendo & Dei V,47,15,32,139
Cuando Te Vi | CROSSOVER #5,Big One & Maria Becerra & Trueno,43,11,32,116
Me has invitado a bailar,Dani Fernández,47,15,32,85
Maquillaje,Renn & Yexel,50,18,32,74
TQMQA,Eladio Carrion,47,15,32,41
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,46,14,32,38
Hablame Claro,Yandel & Feid,37,5,32,27
El Conjuntito,El Bobe & Omar Montes,32,1,31,184
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misión & Justin Quiles & Lenny Tavárez,47,16,31,69
Gran Día,Mau y Ricky & Guaynaa,48,17,31,17
Una Foto Remix (feat. Emilia),Mesita & Nicki Nicole & Tiago PZK,36,6,30,156
Déjame Entrar,Rauw Alejandro,47,17,30,122
HAY LUPITA,Lomiiel,32,2,30,110
Beautiful Things,Benson Boone,47,17,30,103
LA MARINA STA MORENA,Figa Flawas,49,19,30,70
Después De La 1,Cris Mj & FloyyMenor,41,11,30,66
Imagínate,Danny Ocean & Kapo,45,15,30,13
QLONA,KAROL G,37,8,29,427
SEYA,GIMS,50,21,29,130
i like the way you kiss me,Artemas,48,19,29,29
100xCiento,Foreign Teck & Eladio Carrion & De La Ghetto,42,13,29,16
LA CAPI,Myke Towers,41,13,28,286
Rapido (with Cris Mj),Dei V,33,5,28,165
Suano,NTG & Amenazzy,34,6,28,86
Tengo Un Plan,Key-Key,39,11,28,69
S91,KAROL G,49,21,28,51
Cupido,Engel Montaz & Kuv507 & Latinnites Music,50,22,28,49
Quien Es Dei V?,Dei V,37,10,27,198
BBY BOO - REMIX,iZaak & Jhayco & Anuel AA,32,5,27,116
Alucin,Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,48,21,27,83
LUNA,Feid,28,2,26,361
DILUVIO,Rauw Alejandro,29,3,26,359
COMUNA 3,JC Reyes & The Rudeboyz,38,12,26,123
RUEDA,Rvfv,47,21,26,74
COLMILLO,Tainy,44,18,26,27
UWAIE,Kapo,27,2,25,100
Thalía - Remix,Cyril Kamer & Rvfv & Polimá Westcoast,50,25,25,37
YO TENGO UN NOVIO,Lola Indigo,42,18,24,8
"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",Oscar el Ruso & Samuel G & Omar Montes,49,26,23,151
Corazón Roto - Remix,Brray & Jhayco & Ryan Castro,49,26,23,35
SI SABE FERXXO,Blessd,50,27,23,32
LA NENA,Lyanno & Rauw Alejandro,47,25,22,35
WYA REMIX RED,J Abdiel & De La Rose & Yan Block,43,22,21,151
CORAZÓN VACÍO,Maria Becerra,40,19,21,101
Die With A Smile,Lady Gaga & Bruno Mars,50,29,21,85
Narcotics (with Bryant Myers),Dei V & Bryant Myers,35,15,20,251
Vacile,Yan Block,36,16,20,105
RAPAPA,JC Reyes,28,8,20,38
La Rizos [Dime Si Le Comento a la Pura],Las 2K & Chardo Chardemio & Melody Records International,41,22,19,74
GATITA GANGSTER,KAROL G,49,30,19,73
Extasisssssss,Saiko,37,18,19,43
Mi Luz (ft. Rels B),Rvfv,50,32,18,361
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,30,12,18,46
Falsos Recuerdos,Abraham Mateo & Omar Montes,50,32,18,25
IA,Clarent,19,1,18,24
Mirame,Blessd & Ovy On The Drums,31,13,18,16
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi & Seven Kayne & Milo j,46,28,18,13
Quickie,Dei V,49,31,18,7
Como Camarón,Estopa,49,32,17,85
69,Nicky Jam & Feid,39,22,17,41
EMPELOTICA,Lenny Tavárez & Feid,33,16,17,41
PERREO LENTO,Chris Jedi & Gaby Music & Dei V,45,28,17,29
0 CONFIANZA,Rvfv,40,23,17,22
Passoa,JHAYCO & Kapo,36,19,17,22
Pacto (feat. Bryant Myers & Dei V) - Remix,Jay Wheeler & Anuel AA & Hades66,36,20,16,70
Qué Pecao,Manuel Turizo & Kapo,29,13,16,49
BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,38,22,16,30
a new star (2 0 2 4),Rels B,48,32,16,22
LA SEVILLANA,Omar Montes,19,3,16,21
CORLEONE,Saiko & Yandel,32,16,16,7
Mal de amores,Natos y Waor & Israel B,45,29,16,7
Arena y Sal,Omar Montes & Saiko & Tunvao,18,3,15,245
Guay,Ozuna & Bad Gyal,22,7,15,91
Duro De Verdad pt.2,Los Sufridos & Bad Gyal,16,1,15,68
2xLL,JC Reyes & YOVNGCHIMI & Slayter,50,35,15,29
we can't be friends (wait for your love),Ariana Grande,46,31,15,10
DEPORTIVO,Blessd & Anuel AA,50,35,15,8
No soy Eterno,Bizarrap & Milo j,42,27,15,7
Toy en el Mic,Bizarrap & Milo j,39,24,15,7
Los del Espacio,LIT killah,16,2,14,258
La_Original.mp3,Emilia,24,10,14,212
Corazón Roto pt. 3,Brray & Anuel AA & Chencho Corleone,35,21,14,145
YOTULOKO,Omar Montes & Rels B,36,22,14,115
Ella Baila Sola,Eslabon Armado,23,9,14,84
EL CONDENAO,Lola Indigo,49,35,14,19
LUNCH,Billie Eilish,34,20,14,12
Fortnight (feat. Post Malone),Taylor Swift,38,24,14,10
La Bachata,Manuel Turizo,24,11,13,551
LA REINA,Lola Indigo,17,4,13,164
FARDOS,JC Reyes & De La Ghetto,14,1,13,163
SI NO ES CONTIGO,Cris Mj,44,31,13,95
Fruto,Bizarrap & Milo j,25,12,13,36
Polaris,Saiko,35,22,13,25
Tacos Gucci,Anuel AA,32,19,13,16
Hay Lupita,Megan Koffe,43,30,13,13
Manos Rotas,DELLAFUENTE & Morad,13,1,12,371
ASI ES LA VIDA,Enrique Iglesias & Maria Becerra,50,38,12,122
Un Rodeoooo,Rels B,48,36,12,63
PIRIBIRI,JC Reyes & Pedro Calderon,49,37,12,52
Capri Sun,B10 & Kilvertz,46,34,12,15
Maquillaje - Remix,Renn & Myke Towers & Nio Garcia,37,25,12,5
El Fin del Mundo,La La Love You,48,37,11,174
Casanova,Soolking & Lola Indigo & Rvfv,12,1,11,171
Pacto (feat. Luar La L),Jay Wheeler,49,38,11,31
EROTICAAAAAAA,Gonzy,49,38,11,19
Whisky,Samuel G & Oscar el Ruso & Aissa,41,30,11,15
Es un Secreto,Plan B,48,37,11,13
Fecha,Feid & Yandel,50,39,11,5
Cosas Pendientes,Maluma,48,37,11,4
Tu Silueta,Diegote,15,5,10,107
offline,Young Miko,26,16,10,70
Espresso,Sabrina Carpenter,49,39,10,25
Khé?,Rauw Alejandro,18,8,10,11
MIENTRAS ME CURO DEL CORA,KAROL G,47,37,10,10
2AM,Sebastian Yatra & Bad Gyal,41,31,10,4
G-WA,ZHEUS,48,39,9,7
COMUNA 3,JC Reyes & The Rude Boyz,47,38,9,2
El Cielo,Sky Rompiendo & Feid & Myke Towers,10,2,8,279
DEGENERE 👑 (feat. benny blanco),Myke Towers,9,1,8,39
Rosas,La Oreja de Van Gogh,38,30,8,10
Que Me Lleve el Aire,Luis Cortés,50,42,8,8
DEMO #5: nostalgIA - Spanglish Version,FlowGPT,20,12,8,2
Lo Que Tiene,Morad & Beny Jr & Rvfv,12,5,7,259
No_Se_Ve.mp3,Emilia,39,32,7,98
VISTA AL MAR,Quevedo,50,43,7,70
Imperio,Duki,22,15,7,21
REMIX EXCLUSIVO,Feid,50,43,7,18
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza & Villano Antillano & Tokischa,33,26,7,17
Enamórate,Nicki Nicole & Bad Gyal,38,31,7,16
"yes, and?",Ariana Grande,37,30,7,7
Hasta Olvidarte,Mau y Ricky,30,23,7,6
Europapa,Joost,40,33,7,5
Goteras,Omar Montes & JC Reyes,7,1,6,147
EL PANTALON - RUMBAS,Omar Montes,8,2,6,103
La Fiesta,Pedro Capó,36,30,6,41
La Jumpa,Arcángel,42,36,6,37
CONTIGO (with Tiësto),KAROL G & Tiësto,19,13,6,36
My Love,De La Ghetto & Quevedo,42,36,6,28
The Emptiness Machine,Linkin Park,36,30,6,22
Un Desperdicio,Rels B,35,29,6,18
Andando,Morad,40,34,6,17
Te Menti,Ozuna & Saiko & Ovy On The Drums,44,38,6,11
Please Please Please,Sabrina Carpenter,39,33,6,9
YO LO SOÑÉ,SAIKO & Omar Montes,8,2,6,9
rompeolas,Martin Urrutia,45,39,6,7
Hoy,Valentino Merlo & The La Planta,19,13,6,6
Conexión,Cano & JC Reyes,46,40,6,2
OA,Anuel AA & Quevedo & Maluma,8,3,5,194
Si Antes Te Hubiera Conocido,KAROL G,6,1,5,159
A 300,JC Reyes & Pedro Calderon & Blacknife,16,11,5,109
CARITA TRISTE,Ana Mena & Emilia,14,9,5,84
Nueva Era,Duki,8,3,5,25
Bailando Bachata,Chayanne,50,45,5,21
Cúrame,Rauw Alejandro,46,41,5,16
Las Bratz (Remix),Aissa & JC Reyes & Saiko,49,44,5,10
Buscarte Lejos,Duki,33,28,5,7
PROVENZA,KAROL G,50,45,5,6
don't liE,Duki,49,44,5,5
Dicelo,Lianet Rivero & Lia & Gatillo,29,24,5,4
OTRA NOCHE,Myke Towers & Darell,41,36,5,4
PUNTO G,Quevedo,27,23,4,241
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,31,27,4,231
DESPECHÁ,ROSALÍA,43,39,4,226
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión & Justin Quiles & Lenny Tavárez,7,3,4,108
MERCHO,LiL CaKe & Migrantes,25,21,4,104
LA INOCENTE,Mora,49,45,4,74
El Malo,Eladio Carrion,24,20,4,28
COMO SUENAN LAS ESTRELLAS,SAIKO,28,24,4,22
Flowers,Miley Cyrus,48,44,4,20
Se Grita,Morad,50,46,4,16
El Jefe,Shakira & Fuerza Regida,35,31,4,10
MEMORIAS,Mora,43,39,4,10
Hermosa Casualidad,Sen Senra & Aitana,43,39,4,8
MALA SUERTE,Lola Indigo & DELLAFUENTE,36,32,4,7
Penas de Antaño,Bizarrap & Milo j,48,44,4,4
Amanece,Anuel AA & Haze,50,47,3,408
PERRO NEGRO,Bad Bunny,5,2,3,230
BADGYAL,SAIKO,4,1,3,210
Madrid City,Ana Mena,16,13,3,198
DESATAAA,Ovy On The Drums & Myke Towers & SAIKO,9,6,3,115
Chulo pt.2,Bad Gyal & Tokischa & Young Miko,25,22,3,112
La Bebe - Remix,Yng Lvcas & Peso Pluma,13,10,3,104
La Vida Sin Ti,Rels B,11,8,3,63
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,33,30,3,62
Perdió Este Culo,Bad Gyal,21,18,3,28
un x100to,Grupo Frontera & Bad Bunny,34,31,3,28
Orgullosa De Papá,Cano,48,45,3,23
PASIEMPRE,Tainy,24,21,3,19
